연도,시도,학제,학급수,학급수_특수,학생수,학업중단자_전체,자퇴_전체,전출_전체,전입_전체,학업중단률_급,다문화학생_계,국제결혼_국내출생_전체,국제결혼_중도입국_전체,외국인가정_전체,해외출국_급,학생1인당_교지면적,학생1인당_건물면적,일반교실수,교과교실수,특별교실수,학급당_학생수_급,특수학급_비율_급,다문화_비율_급,중도입국_비율_급,외국인가정_비율_급,해외출국_비율_급,자퇴_비율_급,교실_학생당,GRDP_1인당,사교육_참여율,사교육비_1인당_만원,교원1인당_학생수,학력향상_억원,학력향상_세출비중,학력향상_학생당_천원,누리과정_억원,누리과정_학생당_천원,누리과정_세출비중,다문화이탈주민_억원,다문화이탈주민_학생당_천원,다문화이탈주민_세출비중,돌봄교실_억원,돌봄교실_학생당_천원,돌봄교실_세출비중,미달률_중_실측,미달률_고_실측,실측미달률,위험도_pct,위험도_점수
2020,경북,초,6407,375,129079,436,0,7851,7610,0.3,7209,6561,163,485,246,59.460369231245984,19.89179494728035,7092,585,2002,20.146558451693462,5.852973310441705,5.584951851191906,0.12627925533975318,0.3757388885876091,0.19058096204649866,0.0,74.98508665236018,39887.0,60.5,20.7,14.7,90.9395778,0.1867775845319345,35.18285100802006,,,,,,,,,,,,,,
2021,경북,초,6428,385,127912,286,0,7140,6730,0.2,7118,6454,173,491,154,59.81290262055163,20.336747138657827,7167,560,1934,19.899191039203483,5.989421281891723,5.5647632747513915,0.13524923384827067,0.3838576521358434,0.12039527174932767,0.0,75.52848833573081,42896.0,71.8,27.9,14.2,379.2024442,0.7026353179441379,147.7732615515313,,,,,,,,,,,,,,
2022,경북,초,6598,397,127385,391,0,6335,6158,0.3,6957,6192,164,601,199,59.79289555285159,20.61056639321741,7298,575,1872,19.30660806304941,6.0169748408608665,5.461396553754367,0.1287435726341406,0.47179809239706405,0.15621933508654864,0.0,76.50037288534757,43886.0,72.8,29.4,13.74,373.84622,0.7307172814331497,147.0787431003891,2087.6022624,821.3053935581337,4.080413197422782,84.6476751,33.30212529654065,0.1654517705935572,156.3148114,61.49744135084841,0.3055318682477076,,,,,
2023,경북,초,6558,414,124051,417,0,5581,4781,0.3,6950,5957,198,795,197,61.19961951133002,21.20516561736705,7273,594,1889,18.915980481854223,6.312900274473924,5.602534441479714,0.1596117725774077,0.6408654505001975,0.1588056525138854,0.0,78.64507339723178,43886.0,73.8,31.5,13.63,501.41567,0.8465715783130996,200.5750933041054,1781.396235,712.58984795331,3.0076431840771214,44.7964221,17.919357291720836,0.0756326138749848,191.3266393,76.53402321702154,0.3230287856890115,,,,,
2024,경북,초,6393,429,117023,452,0,5415,4569,0.4,6827,5693,180,954,161,63.62110867094503,22.61336660314639,7348,598,1853,18.304864695760987,6.7104645706241195,5.833895900805825,0.1538159165292293,0.8152243576049153,0.13757979200669954,0.0,83.73567589277322,43886.0,75.4,35.6,13.44,177.35182,0.3251699471416566,72.74211370375991,1729.0173913,709.1688130052623,3.170108396609778,47.643163,19.541183057229222,0.0873524996494049,181.6487532,74.50453149801689,0.3330482623544084,,,,,
2012,광주,고,1900,49,67576,1302,0,636,559,1.9,59,50,8,1,66,30.099709956197465,13.123742156978809,0,0,0,35.566315789473684,2.5789473684210527,0.08730910382384278,0.011838522552385463,0.0014798153190481828,0.09766781105718006,0.0,0.0,19799.0,70.8,23.1,20.09,,,,,,,,,,,,,2.766666666666667,1.5666666666666669,1.5666666666666669,1.27,1.47
2013,광주,고,1901,49,67374,1153,1090,732,717,1.7,76,66,8,2,95,30.2625938789444,13.299492385786802,0,0,0,35.441346659652815,2.5775907417148867,0.1128031584884377,0.011874016682993439,0.0029685041707483597,0.1410039481105471,1.6178347730578562,0.0,20789.0,69.8,23.9,19.43,54.7571211,0.3253329913077576,23.95817210887628,,,,,,,,,,3.6666666666666665,1.9666666666666668,1.9666666666666668,1.718,3.93
2014,광주,고,1893,50,65636,1070,988,610,538,1.6,149,107,22,20,87,31.99849168139436,13.882610152964835,0,0,0,34.673005810882195,2.641310089804543,0.22700956792004387,0.033518191236516545,0.03047108294228777,0.1325492107989518,1.5052714973490158,0.0,21944.0,68.7,23.1,18.75,60.7897688,0.3325443310248246,27.57143191476817,,,,,,,,,,4.45,2.5166666666666666,2.5166666666666666,2.423,7.8
2015,광주,고,1892,54,63937,908,853,497,481,1.4,192,136,30,26,74,32.90198163817508,14.33866149490905,1879,294,888,33.79334038054968,2.854122621564482,0.3002956034846802,0.04692118804448128,0.04066502963855045,0.1157389305097205,1.3341257800647512,47.87525220138574,23139.0,68.8,22.8,18.15,34.5699898,0.1974807334837622,16.278802139742513,,,,,,,,,,5.233333333333333,3.0666666666666664,3.0666666666666664,2.751,9.6
2016,광주,고,1891,55,62357,820,773,514,472,1.3,240,153,39,48,47,33.88928267876902,14.710938627579903,1886,257,872,32.97567424643046,2.9085140137493393,0.38488060682842345,0.0625430986096188,0.07697612136568469,0.07537245217056626,1.2396362878265472,48.350626232820694,24511.0,64.8,22.8,17.66,40.3700981,0.221437768294489,19.890373171464752,,,,,,,,,,4.633333333333333,2.533333333333333,2.533333333333333,3.241,12.29
2017,광주,고,1867,53,58976,816,768,607,535,1.3,245,191,30,24,47,36.31612859468258,15.669085729788389,1891,264,873,31.588644884841994,2.8387787895018746,0.41542322300596857,0.050868149755832884,0.040694519804666304,0.07969343461747151,1.3022246337493217,51.34291915355399,25240.0,68.7,24.5,17.16,43.065893,0.2131774387557606,22.07771409530157,,,,,,,,,,,,,3.057,11.28
2018,광주,고,1838,53,53891,820,770,518,472,1.4,262,182,41,39,28,40.01900131747416,17.28314560872873,1876,270,846,29.320457018498367,2.883569096844396,0.48616652131153626,0.07607949379302666,0.07236829897385463,0.05195672746840846,1.4288100053812325,55.51947449481361,26654.0,69.4,26.2,16.7,31.4223211,0.1479498133107328,16.71844698057994,,,,,,,,,,,,,3.983,16.36
2019,광주,고,1808,51,49048,769,725,487,384,1.4,301,199,46,56,30,43.82453922687979,18.99626896101778,1856,229,892,27.128318584070797,2.820796460176991,0.6136845539063774,0.09378567933452944,0.11417387049420975,0.06116457347904094,1.4781438590768228,60.695645082368294,27799.0,73.7,27.6,16.36,48.4503051,0.2035650126675882,26.75245717977317,,,,,,,,,,,,,5.226,23.18
2020,광주,고,1784,51,45612,741,709,406,346,1.5,305,192,27,86,24,46.62775146891169,20.474414627729544,1805,266,905,25.567264573991032,2.8587443946188342,0.6686836797334035,0.059194948697711136,0.18854687362974656,0.052617732175743226,1.5544155046917478,65.24598789792161,28433.0,67.1,29.9,16.04,53.6239169,0.2325589894267549,30.56434281773309,,,,,,,,,,,,,6.033,27.6
2021,광주,고,1771,50,43694,447,437,315,324,1.0,299,187,25,87,3,48.66771181397904,21.592621412550923,1816,292,915,24.67193675889328,2.8232636928289105,0.6843044811644619,0.05721609374284799,0.199112006225111,0.006865931249141758,1.000137318624983,69.18570055385179,29779.0,73.6,32.0,15.59,140.921385,0.552877883140372,81.63014527845036,,,,,,,,,,,,,6.114,28.05
2022,광주,고,1748,46,41693,636,614,344,347,1.5,327,200,27,100,3,52.15115247163792,23.301489458662125,1837,282,952,23.851830663615562,2.631578947368421,0.7843043196699685,0.06475907226632768,0.2398484158012136,0.007195452474036409,1.4726692730194517,73.6574484925527,30900.0,74.9,35.6,15.37,239.96077,0.9257631292990864,141.81408089452037,1259.0230521,744.0682781546972,4.857281965597055,14.4546166,8.542513710935653,0.0557655782502886,48.8265775,28.855950959765494,0.1883718125232068,,,,7.323,34.68
2023,광주,고,1765,46,41952,835,821,440,393,2.0,494,314,50,130,6,51.88598874904653,23.17322177726926,1826,266,947,23.76883852691218,2.6062322946175636,1.177536231884058,0.11918382913806255,0.3098779557589626,0.014302059496567507,1.956998474446987,72.43993135011442,30900.0,76.3,39.6,14.81,254.88476,0.83362791882731,153.28002790356433,1160.5373612,697.9122608502169,3.795661792954958,26.3845578,15.866879431344604,0.0862935234260097,14.0897208,8.473134279889589,0.0460819416090701,,,,9.827,48.42
2024,광주,고,1760,45,42189,1007,991,391,372,2.4,630,428,45,157,11,51.594515157979565,22.886131456066742,1803,256,962,23.97102272727273,2.556818181818182,1.4932802389248383,0.10666287420891701,0.3721349166844438,0.02607314702884638,2.348953518689706,71.60634288558629,30900.0,78.2,41.3,14.63,125.94667,0.4696354624407104,77.39324427293285,1169.66978565,718.7529407445188,4.361515955020204,28.3933952,17.447519417953004,0.1058745363018637,158.74254129,97.54605083693836,0.5919261445161094,,,,11.239,56.17
2012,광주,중,1945,66,66937,484,0,2588,2742,0.7,234,193,32,9,164,20.740128777806,10.677786575436604,0,0,0,34.41491002570694,3.3933161953727504,0.349582443192853,0.047806146077655105,0.0134454785843405,0.2450064986479824,0.0,0.0,19799.0,70.8,23.1,20.09,,,,,,,,,,,,,2.766666666666667,1.5666666666666669,2.766666666666667,2.368,7.5
2013,광주,중,1936,69,65124,433,0,2113,2198,0.6,259,221,25,13,127,21.1179902954364,11.177446102819236,0,0,0,33.638429752066116,3.5640495867768593,0.39770284380566306,0.03838830538664701,0.01996191880105645,0.19501259136416682,0.0,0.0,20789.0,69.8,23.9,19.43,54.7571211,0.3253329913077576,23.95817210887628,,,,,,,,,,3.6666666666666665,1.9666666666666668,3.6666666666666665,2.41,7.73
2014,광주,중,1905,71,61682,349,0,1808,1921,0.5,292,245,38,9,99,21.063551765506958,12.004831231153334,0,0,0,32.37900262467192,3.727034120734908,0.4733958042865017,0.061606303297558444,0.01459096657047437,0.16050063227521807,0.0,0.0,21944.0,68.7,23.1,18.75,60.7897688,0.3325443310248246,27.57143191476817,,,,,,,,,,4.45,2.5166666666666666,4.45,2.55,8.49
2015,광주,중,1879,69,56563,297,0,1843,1988,0.5,333,266,44,23,96,23.288651592030124,13.326962855576967,1933,214,749,30.102714209686003,3.6721660457690266,0.5887240775772148,0.07778936760780016,0.040662623976804625,0.1697222565988367,0.0,51.199547407315734,23139.0,68.8,22.8,18.15,34.5699898,0.1974807334837622,16.278802139742513,,,,,,,,,,5.233333333333333,3.0666666666666664,5.233333333333333,2.855,10.17
2016,광주,중,1850,66,51511,274,0,1634,1637,0.5,385,282,43,60,78,25.772145755275574,14.832521209062142,1911,234,763,27.843783783783785,3.567567567567568,0.7474131738851896,0.08347731552483936,0.11647997515093864,0.15142396769622024,0.0,56.45396128982159,24511.0,64.8,22.8,17.66,40.3700981,0.221437768294489,19.890373171464752,,,,,,,,,,4.633333333333333,2.533333333333333,4.633333333333333,3.426,13.3
2017,광주,중,1850,69,47900,235,0,1385,1417,0.5,376,292,23,61,65,27.78605427974948,16.030730688935282,1897,255,739,25.89189189189189,3.72972972972973,0.7849686847599164,0.04801670146137787,0.12734864300626306,0.13569937369519833,0.0,60.354906054279745,25240.0,68.7,24.5,17.16,43.065893,0.2131774387557606,22.07771409530157,,,,,,,,,,,,,3.304,12.63
2018,광주,중,1819,64,45437,239,0,1391,1364,0.5,454,349,47,58,54,29.64357241895372,16.90204018751238,1849,272,742,24.979109400769655,3.5184167124793846,0.9991856856746704,0.10343992781213548,0.12764927261923104,0.11884587450755991,0.0,63.01032198428594,26654.0,69.4,26.2,16.7,31.4223211,0.1479498133107328,16.71844698057994,,,,,,,,,,,,,3.712,14.87
2019,광주,중,1789,61,43068,214,0,1323,1221,0.5,511,364,34,113,55,31.268505619021084,17.89307606575648,1830,266,747,24.073784237003913,3.4097261039686972,1.1864957741246402,0.07894492430574905,0.26237577783969535,0.12770502461224112,0.0,66.01188817683664,27799.0,73.7,27.6,16.36,48.4503051,0.2035650126675882,26.75245717977317,,,,,,,,,,,,,4.291,18.05
2020,광주,중,1797,65,43415,189,0,1346,1275,0.4,635,452,46,137,53,31.08354255441668,18.027525048946217,1844,261,748,24.15971062882582,3.6171396772398445,1.462628123920304,0.10595416330761258,0.3155591385465853,0.12207762294137971,0.0,65.71461476448232,28433.0,67.1,29.9,16.04,53.6239169,0.2325589894267549,30.56434281773309,,,,,,,,,,,,,5.009,21.99
2021,광주,중,1795,64,43942,144,0,1322,1346,0.3,794,594,50,150,25,30.525010240771927,17.98477538573574,1847,262,726,24.480222841225626,3.5654596100278555,1.806927313276592,0.11378635474033955,0.34135906422101864,0.05689317737016977,0.0,64.51686313777252,29779.0,73.6,32.0,15.59,140.921385,0.552877883140372,81.63014527845036,,,,,,,,,,,,,5.269,23.41
2022,광주,중,1803,67,43586,139,0,1151,1183,0.3,921,681,42,198,31,31.5638278346258,18.626852659110725,1834,237,828,24.174154187465337,3.7160288408208544,2.113063827834626,0.09636121690451062,0.4542743082641215,0.07112375533428165,0.0,66.51218281099436,30900.0,74.9,35.6,15.37,239.96077,0.9257631292990864,141.81408089452037,1259.0230521,744.0682781546972,4.857281965597055,14.4546166,8.542513710935653,0.0557655782502886,48.8265775,28.855950959765494,0.1883718125232068,,,,5.938,27.08
2023,광주,중,1784,70,42605,194,0,1296,1397,0.4,1143,849,60,234,37,31.953338809998822,18.976199976528576,1824,217,823,23.881726457399104,3.923766816143498,2.682783710832062,0.14082854125102687,0.5492313108790048,0.08684426710479991,0.0,67.22215702382348,30900.0,76.3,39.6,14.81,254.88476,0.83362791882731,153.28002790356433,1160.5373612,697.9122608502169,3.795661792954958,26.3845578,15.866879431344604,0.0862935234260097,14.0897208,8.473134279889589,0.0460819416090701,,,,7.045,33.16
2024,광주,중,1798,74,42440,239,0,1208,1099,0.6,1303,956,48,299,35,32.12462299717248,19.15077756833176,1827,210,814,23.60400444938821,4.115684093437152,3.070216776625825,0.11310084825636192,0.7045240339302544,0.0824693685202639,0.0,67.17719132893497,30900.0,78.2,41.3,14.63,125.94667,0.4696354624407104,77.39324427293285,1169.66978565,718.7529407445188,4.361515955020204,28.3933952,17.447519417953004,0.1058745363018637,158.74254129,97.54605083693836,0.5919261445161094,,,,7.891,37.8
2012,광주,초,4076,144,102912,387,0,8578,9533,0.4,793,721,48,24,252,20.773223725124375,11.964309312810943,0,0,0,25.24828263002944,3.532875368007851,0.7705612562189055,0.046641791044776115,0.023320895522388058,0.24486940298507465,0.0,0.0,19799.0,70.8,23.1,20.09,,,,,,,,,,,,,2.766666666666667,1.5666666666666669,,,
2013,광주,초,4002,136,96055,332,0,7607,7924,0.3,916,791,65,60,231,22.5597522252876,12.902493363177346,0,0,0,24.001749125437282,3.3983008495752123,0.953620321690698,0.06766956431211285,0.0624642132111811,0.2404872208630472,0.0,0.0,20789.0,69.8,23.9,19.43,54.7571211,0.3253329913077576,23.95817210887628,,,,,,,,,,3.6666666666666665,1.9666666666666668,,,
2014,광주,초,3989,133,93163,310,0,6659,7064,0.3,1079,932,93,54,214,23.474941768727927,13.54682652984554,0,0,0,23.354976184507397,3.334168964652795,1.1581851164088748,0.09982503783690949,0.057962925195624876,0.22970492577525414,0.0,0.0,21944.0,68.7,23.1,18.75,60.7897688,0.3325443310248246,27.57143191476817,,,,,,,,,,4.45,2.5166666666666666,,,
2015,광주,초,4023,132,91862,232,0,7655,7827,0.2,1373,1230,54,89,118,23.77688271537741,29.99354466482332,4110,211,766,22.834203330847625,3.2811334824757643,1.4946332542291698,0.05878382791578672,0.0968844571204633,0.12845354989005248,0.0,55.376543075482786,23139.0,68.8,22.8,18.15,34.5699898,0.1974807334837622,16.278802139742513,,,,,,,,,,5.233333333333333,3.0666666666666664,,,
2016,광주,초,3985,134,89095,292,0,5494,5251,0.3,1776,1492,57,227,169,24.83241483809417,14.713777428587465,4186,182,756,22.35759096612296,3.3626097867001254,1.9933778550984902,0.06397665413322857,0.25478421909198046,0.18968516751781808,0.0,57.51164487344969,24511.0,64.8,22.8,17.66,40.3700981,0.221437768294489,19.890373171464752,,,,,,,,,,4.633333333333333,2.533333333333333,,,
2017,광주,초,3996,136,88189,398,0,5698,5599,0.4,1985,1757,51,177,192,25.308745988728752,14.999081518103164,4242,194,733,22.06931931931932,3.4034034034034035,2.250847611380104,0.05783034165258706,0.20070530338250803,0.2177142273979748,0.0,58.61275215729853,25240.0,68.7,24.5,17.16,43.065893,0.2131774387557606,22.07771409530157,,,,,,,,,,,,,,
2018,광주,초,4050,140,88622,346,0,5413,5389,0.4,2322,2002,63,257,144,24.803829748820835,15.120477985150414,4311,197,704,21.881975308641977,3.45679012345679,2.6201169009952383,0.07108844305025841,0.2899957121256573,0.16248786982916208,0.0,58.81158177427727,26654.0,69.4,26.2,16.7,31.4223211,0.1479498133107328,16.71844698057994,,,,,,,,,,,,,,
2019,광주,초,4071,144,88990,407,0,4779,4673,0.5,2739,2306,67,366,150,24.738352623890325,15.24740982132824,4356,204,721,21.85949398182265,3.5372144436256447,3.0778739184178,0.07528935835487133,0.41128216653556576,0.16855826497359253,0.0,59.34374648836948,27799.0,73.7,27.6,16.36,48.4503051,0.2035650126675882,26.75245717977317,,,,,,,,,,,,,,
2020,광주,초,4044,157,86419,458,0,5155,5205,0.5,2925,2424,89,412,225,25.341961837096008,15.78209652969833,4298,198,819,21.369683481701287,3.8822947576656777,3.3846723521447832,0.10298661174047373,0.4767470116525301,0.26035941170344484,0.0,61.502678809058196,28433.0,67.1,29.9,16.04,53.6239169,0.2325589894267549,30.56434281773309,,,,,,,,,,,,,,
2021,광주,초,4030,166,84998,296,0,5554,5433,0.3,3089,2518,104,467,69,25.553683616085085,16.065436833807855,4319,201,838,21.091315136476428,4.11910669975186,3.634203157721358,0.12235582013694439,0.5494246923457022,0.08117838066778041,0.0,63.03677733593732,29779.0,73.6,32.0,15.59,140.921385,0.552877883140372,81.63014527845036,,,,,,,,,,,,,,
2022,광주,초,4015,167,83929,330,0,4957,4849,0.4,3123,2482,110,531,74,25.861692621144066,16.367775143275864,4348,186,819,20.903860523038606,4.159402241594022,3.7210022757330603,0.131063160528542,0.6326776203695981,0.08816976253738279,0.0,63.78009984629866,30900.0,74.9,35.6,15.37,239.96077,0.9257631292990864,141.81408089452037,1259.0230521,744.0682781546972,4.857281965597055,14.4546166,8.542513710935653,0.0557655782502886,48.8265775,28.855950959765494,0.1883718125232068,,,,,
2023,광주,초,3985,177,81730,380,0,4437,4556,0.5,3247,2453,120,674,136,26.85968432644072,17.103230148048453,4445,181,813,20.509410288582185,4.441656210790464,3.9728373914107427,0.14682491129328276,0.8246665850972714,0.16640156613238713,0.0,66.54839104368041,30900.0,76.3,39.6,14.81,254.88476,0.83362791882731,153.28002790356433,1160.5373612,697.9122608502169,3.795661792954958,26.3845578,15.866879431344604,0.0862935234260097,14.0897208,8.473134279889589,0.0460819416090701,,,,,
2024,광주,초,3946,180,78107,377,0,3890,3842,0.5,3292,2418,114,760,96,28.100477550027527,17.926011753107915,4442,191,790,19.793968575772933,4.5615813482007095,4.214731074039459,0.14595362771582573,0.9730241847721715,0.12290831807648481,0.0,69.4303967634143,30900.0,78.2,41.3,14.63,125.94667,0.4696354624407104,77.39324427293285,1169.66978565,718.7529407445188,4.361515955020204,28.3933952,17.447519417953004,0.1058745363018637,158.74254129,97.54605083693836,0.5919261445161094,,,,,
2012,대구,고,3098,56,105968,1715,0,1116,1083,1.6,57,38,12,7,125,24.291672957874077,12.534434923750569,0,0,0,34.20529373789542,1.8076178179470628,0.053789823342895976,0.01132417333534652,0.0066057677789521365,0.11796013890985957,0.0,0.0,18078.0,75.4,24.8,19.32,,,,,,,,,,,,,1.3,1.3666666666666665,1.3666666666666665,1.57,3.12
2013,대구,고,3085,61,103666,1628,1579,1062,1018,1.5,95,59,25,11,133,25.032884455848592,13.184042984199255,0,0,0,33.603241491085896,1.9773095623987034,0.09164046071035827,0.024115910713252177,0.010611000713830957,0.12829664499450158,1.5231609206490073,0.0,18946.0,71.9,24.2,18.51,45.4984056,0.1852020629383438,13.607243972975963,,,,,,,,,,2.233333333333333,1.6666666666666667,1.6666666666666667,1.964,5.28
2014,대구,고,3080,66,98916,1405,1379,882,848,1.4,148,128,15,5,139,26.34638481135509,14.003821424238748,0,0,0,32.115584415584415,2.142857142857143,0.14962190141129847,0.015164381899793763,0.005054793966597922,0.14052327227142222,1.3941121759877066,0.0,19725.0,70.3,24.2,17.83,37.2588822,0.1387099594207214,11.644419574212742,,,,,,,,,,1.983333333333333,1.4333333333333331,1.4333333333333331,2.069,5.85
2015,대구,고,3064,72,95199,1182,1108,814,803,1.2,195,158,18,19,120,26.82231956218028,14.629082238258803,2934,572,1371,31.070169712793735,2.3498694516971277,0.20483408439164277,0.01890776163615164,0.019958192838160065,0.12605174424101093,1.1638777718253344,51.22952972195086,20991.0,71.3,24.4,17.2,28.8761046,0.1103991214286533,9.44391903559608,,,,,,,,,,1.7333333333333332,1.2,1.2,2.403,7.69
2016,대구,고,3040,76,91904,1099,1026,911,881,1.2,251,203,23,25,96,27.77688675139276,15.25787778551532,2919,570,1365,30.231578947368423,2.5,0.2731110724233983,0.025026114206128134,0.027202298050139278,0.10445682451253482,1.1163823119777159,52.81598189415042,21602.0,68.9,26.5,16.62,27.4071349,0.0967055795884378,9.406299516079212,,,,,,,,,,1.2,1.1,1.1,2.757,9.63
2017,대구,고,2994,74,86664,1256,1168,756,766,1.4,263,221,30,12,89,29.499480753253945,16.44445213698883,2919,605,1343,28.945891783567134,2.4716098864395457,0.30347087602695466,0.03461644973691498,0.013846579894765992,0.10269546755284778,1.34773377642389,56.15942028985507,22310.0,74.0,30.0,16.18,34.9450234,0.1138355953846855,12.468564893939664,,,,,,,,,,,,,3.235,12.25
2018,대구,고,2935,74,78245,1163,1082,912,870,1.3,276,233,25,18,99,32.919764841203914,18.16300083072401,2856,609,1295,26.659284497444634,2.5212947189097106,0.35273819413381047,0.03195092338168573,0.023004664834813726,0.1265256565914755,1.3828359639593586,60.83455811872963,23151.0,73.7,30.3,15.39,38.4739574,0.1132053121873712,14.27234388099566,,,,,,,,,,,,,3.753,15.09
2019,대구,고,2872,72,70945,1095,1039,934,875,1.4,290,234,35,21,59,36.29539784339982,20.052336316865176,2790,630,1320,24.702298050139277,2.5069637883008355,0.4087673549933047,0.049333991119881605,0.02960039467192896,0.08316301360208612,1.4645147649587709,66.81231940235394,23883.0,75.5,32.9,14.99,51.4797334,0.1418741188629066,19.829947458841477,,,,,,,,,,,,,4.235,17.74
2020,대구,고,2806,74,65807,1047,998,773,762,1.5,322,252,40,30,68,38.03350707371556,21.70351178446062,2733,644,1340,23.45224518888097,2.6372059871703493,0.4893096479097968,0.060783807193763584,0.04558785539532269,0.10333247222939809,1.5165559894844014,71.6793046332457,23910.0,65.9,29.0,14.86,77.7966902,0.2168149976589672,31.00000804918771,,,,,,,,,,,,,4.448,18.91
2021,대구,고,2754,75,63074,712,698,682,681,1.1,384,291,43,50,12,39.98790309794844,23.137330754352032,2685,646,1361,22.902687000726218,2.7233115468409586,0.6088087008910169,0.068173890985192,0.07927196626185117,0.01902527190284428,1.1066366490154422,74.38881314012112,25543.0,79.1,40.0,14.5,267.8304609,0.6852162122956482,108.37327510651988,,,,,,,,,,,,,5.559,25.0
2022,대구,고,2698,73,59373,951,914,701,722,1.5,467,363,39,65,17,42.453522644973305,24.72795715224092,2640,637,1402,22.006300963676797,2.705707931801334,0.7865528101999225,0.06568642312162094,0.10947737186936823,0.028632543411988613,1.53942027520927,78.80686507334984,26736.0,79.9,43.7,14.18,262.67204,0.7055510693617566,108.16982864767144,1830.3764132,753.7593379812464,4.916488392399117,18.6905551,7.696876083563601,0.0502038250350887,117.68475,48.4632442872262,0.3161074974331908,,,,6.672,31.11
2023,대구,고,2669,64,59576,1087,1073,784,756,1.8,591,471,49,71,24,42.30513965355176,24.73697462065261,2639,595,1434,22.321468714874484,2.397901835893593,0.9920102054518598,0.08224788505438431,0.11917550691553647,0.040284678393984155,1.8010608298643749,78.35369947629918,26736.0,80.2,45.9,13.96,474.02285,1.0792289214856965,197.3278148038681,1709.8165764,711.7681536585061,3.89281550390775,24.0388412,10.006969082636406,0.0547302997356391,129.28969,53.821143863359154,0.294359591943553,,,,7.511,35.71
2024,대구,고,2633,65,60083,1172,1165,782,875,2.0,857,701,62,94,28,42.90543082069804,24.95015228933309,2646,564,1454,22.81921762248386,2.468666919863274,1.4263602017209527,0.1031905863555415,0.1564502438293694,0.04660220028959939,1.9389844049065459,77.62595076810412,26736.0,81.8,47.8,13.86,316.68286,0.7752201130276629,133.07512196761817,1709.2492464,718.253434801427,4.1841367543120445,34.307395,14.41650733486572,0.0839823873940783,227.9862471,95.80340925231016,0.5580962741261547,,,,8.988,43.82
2012,대구,중,2880,89,98316,615,0,2974,3105,0.6,254,222,25,7,266,16.306704910696123,10.500864559176533,0,0,0,34.1375,3.0902777777777777,0.25835062451686397,0.02542821107449449,0.007119899100858457,0.2705561658326213,0.0,0.0,18078.0,75.4,24.8,19.32,,,,,,,,,,,,,1.3,1.3666666666666665,1.3,2.191,6.52
2013,대구,중,2886,95,94394,576,0,2053,2089,0.6,256,212,22,22,209,16.75773883933301,10.985592304595633,0,0,0,32.70755370755371,3.2917532917532917,0.2712036781998856,0.02330656609530267,0.02330656609530267,0.22141237790537535,0.0,0.0,18946.0,71.9,24.2,18.51,45.4984056,0.1852020629383438,13.607243972975963,,,,,,,,,,2.233333333333333,1.6666666666666667,2.233333333333333,2.321,7.24
2014,대구,중,2864,95,89291,496,0,1924,1970,0.5,279,234,26,19,175,16.44683114759606,11.615056388661792,0,0,0,31.177025139664803,3.3170391061452515,0.31246150227906505,0.029118276198049076,0.021278740298574326,0.19598839748686878,0.0,0.0,19725.0,70.3,24.2,17.83,37.2588822,0.1387099594207214,11.644419574212742,,,,,,,,,,1.983333333333333,1.4333333333333331,1.983333333333333,2.407,7.71
2015,대구,중,2829,97,80982,374,0,1739,1771,0.4,349,290,32,27,174,18.14897137635524,12.880220295868218,2607,581,883,28.625662778366912,3.4287734181689644,0.4309599664122891,0.03951495394038181,0.033340742387197156,0.2148625620508261,0.0,50.27043046602949,20991.0,71.3,24.4,17.2,28.8761046,0.1103991214286533,9.44391903559608,,,,,,,,,,1.7333333333333332,1.2,1.7333333333333332,2.612,8.83
2016,대구,중,2800,99,73925,293,0,2013,1434,0.4,379,303,50,26,145,20.11794386202232,14.61773419005749,2679,552,923,26.401785714285715,3.5357142857142856,0.5126817720662834,0.06763611768684477,0.03517078119715928,0.19614474129184983,0.0,56.192086574230636,21602.0,68.9,26.5,16.62,27.4071349,0.0967055795884378,9.406299516079212,,,,,,,,,,1.2,1.1,1.2,2.887,10.34
2017,대구,중,2729,98,68893,273,0,1977,2009,0.4,418,331,54,33,115,22.03534466491516,15.880060383493245,2632,558,959,25.24477830707219,3.5910589959692194,0.6067379849912182,0.07838241911369805,0.04790036723614881,0.1669255221865792,0.0,60.223825352358006,22310.0,74.0,30.0,16.18,34.9450234,0.1138355953846855,12.468564893939664,,,,,,,,,,,,,2.988,10.9
2018,대구,중,2671,97,66165,292,0,1299,1493,0.4,478,356,60,62,129,23.057810020403537,16.861467543263053,2590,585,1002,24.771621115687008,3.631598652190191,0.722436333408902,0.09068238494672409,0.09370513111161491,0.19496712763545682,0.0,63.130053653744426,23151.0,73.7,30.3,15.39,38.4739574,0.1132053121873712,14.27234388099566,,,,,,,,,,,,,3.418,13.26
2019,대구,중,2602,101,62539,311,0,1310,1169,0.5,607,473,54,80,124,24.43292985177249,18.157805529349687,2504,603,1004,24.03497309761722,3.8816295157571097,0.9705943491261453,0.08634612002110682,0.12792017780904716,0.19827627560402308,0.0,65.7349813716241,23883.0,75.5,32.9,14.99,51.4797334,0.1418741188629066,19.829947458841477,,,,,,,,,,,,,3.754,15.1
2020,대구,중,2597,97,62563,351,0,1262,1133,0.6,789,629,61,99,118,24.704649713089207,18.142432428112464,2483,581,1001,24.090489025799,3.7350789372352713,1.261128782187555,0.09750171826798587,0.15824049358246886,0.18860988123971037,0.0,64.97450569825617,23910.0,65.9,29.0,14.86,77.7966902,0.2168149976589672,31.00000804918771,,,,,,,,,,,,,4.362,18.44
